"都道府県コード","都道府県・市区町村コード","都道府県名","都道府県・市区町村名","（人）","（km2）","（人/km2）"
"00","00000","全国","全国",127094745,377970.75,340.8
"01","01000","北海道","北海道",5381733,83424.31,68.6
"01","01100","北海道","札幌市",1952356,1121.26,1741.2
"01","01101","北海道","札幌市 中央区",237627,46.42,5119.1
"01","01102","北海道","札幌市 北区",285321,63.57,4488.3
"01","01103","北海道","札幌市 東区",261912,56.97,4597.4
"01","01104","北海道","札幌市 白石区",209584,34.47,6080.2
"01","01105","北海道","札幌市 豊平区",218652,46.23,4729.7
"01","01106","北海道","札幌市 南区",141190,657.48,214.7
"01","01107","北海道","札幌市 西区",213578,75.1,2843.9
"01","01108","北海道","札幌市 厚別区",127767,24.38,5240.6
"01","01109","北海道","札幌市 手稲区",140999,56.77,2483.7
"01","01110","北海道","札幌市 清田区",115726,59.87,1933
"01","01202","北海道","函館市",265979,677.86,392.4
"01","01203","北海道","小樽市",121924,243.83,500
"01","01204","北海道","旭川市",339605,747.66,454.2
"01","01205","北海道","室蘭市",88564,80.88,1095
"01","01206","北海道","釧路市",174742,1362.92,128.2
"01","01207","北海道","帯広市",169327,619.34,273.4
"01","01208","北海道","北見市",121226,1427.41,84.9
"01","01209","北海道","夕張市",8843,763.07,11.6
"01","01210","北海道","岩見沢市",84499,481.02,175.7
"01","01211","北海道","網走市",39077,471,83
"01","01212","北海道","留萌市",22221,297.83,74.6
"01","01213","北海道","苫小牧市",172737,561.57,307.6
"01","01214","北海道","稚内市",36380,761.47,47.8
"01","01215","北海道","美唄市",23035,277.69,83
"01","01216","北海道","芦別市",14676,865.04,17
"01","01217","北海道","江別市",120636,187.38,643.8
"01","01218","北海道","赤平市",11105,129.88,85.5
"01","01219","北海道","紋別市",23109,830.78,27.8
"01","01220","北海道","士別市",19914,1119.22,17.8
"01","01221","北海道","名寄市",29048,535.2,54.3
"01","01222","北海道","三笠市",9076,302.52,30
"01","01223","北海道","根室市",26917,506.25,65.4
"01","01224","北海道","千歳市",95648,594.5,160.9
"01","01225","北海道","滝川市",41192,115.9,355.4
"01","01226","北海道","砂川市",17694,78.68,224.9
"01","01227","北海道","歌志内市",3585,55.95,64.1
"01","01228","北海道","深川市",21909,529.42,41.4
"01","01229","北海道","富良野市",22936,600.71,38.2
"01","01230","北海道","登別市",49625,212.21,233.8
"01","01231","北海道","恵庭市",69702,294.65,236.6
"01","01233","北海道","伊達市",34995,444.21,78.8
"01","01234","北海道","北広島市",59064,119.05,496.1
"01","01235","北海道","石狩市",57436,722.42,79.5
"01","01236","北海道","北斗市",46390,397.44,116.7
"01","01303","北海道","当別町",17278,422.86,40.9
