"名称","種別","所在地"
"八窓庵（旧舎那院忘筌）","住宅","北海道札幌市中央区"
"北海道庁旧本庁舎","官公庁舎","北海道札幌市中央区"
"北海道大学農学部植物園・博物館","学校建築","北海道札幌市中央区"
"豊平館","文化施設","北海道札幌市中央区"
"旧札幌農学校演武場（時計台）","学校建築","北海道札幌市中央区"
"北海道大学農学部（旧東北帝国大学農科大学）第二農場","学校建築","北海道札幌市北区"
"太刀川家住宅店舗","住居建築","北海道函館市"
"旧函館区公会堂","文化施設","北海道函館市"
"函館ハリストス正教会復活聖堂","宗教建築","北海道函館市"
"旧日本郵船株式会社小樽＊支店","商業・業務","北海道小樽＊市"
"旧旭川偕行社","文化施設","北海道旭川市"
"旧三戸部家住宅","住居建築","北海道伊達市"
"福山城（松前城）本丸御門","城郭","北海道松前町"
"龍雲院","寺院","北海道松前町"
"法源寺山門","寺院","北海道松前町"
"旧中村家住宅","住居建築","北海道江差町"
"旧笹浪家住宅","民家","北海道上ノ国町"
"上國寺本堂","寺院","北海道上ノ国町"
"旧下ヨイチ運上家","近代以前その他","北海道余市町"
"旧花田家番屋","住居建築","北海道小平町"
"正行寺本堂","寺院","北海道厚岸町"
"最勝院五重塔","寺院","青森県弘前市"
"長勝寺三門","寺院","青森県弘前市"
"弘前八幡宮","神社","青森県弘前市"
"弘前城","城郭","青森県弘前市"
"誓願寺山門","寺院","青森県弘前市"
"東照宮本殿","神社","青森県弘前市"
"津軽為信霊屋","神社","青森県弘前市"
"熊野奥照神社本殿","神社","青森県弘前市"
"旧第五十九銀行本店本館","商業・業務","青森県弘前市"
"石場家住宅","民家","青森県弘前市"
"弘前学院外人宣教師館","住居建築","青森県弘前市"
"長勝寺御影堂","寺院","青森県弘前市"
"弘前城三の丸東門","城郭","青森県弘前市"
"革秀寺本堂","寺院","青森県弘前市"
"津軽家霊屋","神社","青森県弘前市"
"長勝寺","寺院","青森県弘前市"
"清水寺観音堂","寺院","青森県八戸市"
"櫛引八幡宮","神社","青森県八戸市"
"高橋家住宅","民家","青森県黒石市"
"旧平山家住宅","民家","青森県五所川原市"
"円覚寺薬師堂内厨子","寺院","青森県深浦町"
"岩木山神社拝殿","寺院","青森県岩木町"
"岩木山神社楼門","神社","青森県岩木町"
"岩木山神社","神社","青森県岩木町"
"旧笠石家住宅","民家","青森県十和田湖町"
"江渡家住宅","民家","青森県五戸町"
"南部利康霊屋","神社","青森県南部町"
"旧中村家住宅（旧所在　岩手県盛岡市南大通）","民家","岩手県盛岡市"
"旧藤野家住宅（旧所在　岩手県江刺市伊手）","民家","岩手県盛岡市"
"岩手大学農学部（旧盛岡高等農林学校）","学校建築","岩手県盛岡市"
"岩手銀行（旧盛岡銀行）旧本店本館","商業・業務","岩手県盛岡市"
"旧佐々木家住宅（旧所在　岩手県下閉伊郡岩泉町）","民家","岩手県盛岡市"
"正法寺","寺院","岩手県水沢市"
"日高神社本殿","神社","岩手県水沢市"
