"名称","種別","所在地","新指定年月日"
"手宮洞窟","史跡","北海道小樽＊市",21/03/03
"阿寒湖のマリモ","特別天然記念物","北海道阿寒町",21/03/03
"後方羊蹄山の高山植物帯","天然記念物","北海道倶知安町・他",21/03/03
"野幌原始林","特別天然記念物","北海道北広島市",21/03/03
"円山原始林","天然記念物","北海道札幌市中央区",21/03/03
"藻岩原始林","天然記念物","北海道札幌市南区",21/03/03
"五稜郭跡","特別史跡","北海道函館市",22/10/12
"ヒノキアスナロおよびアオトドマツ自生地","天然記念物","北海道江差町",22/10/12
"霧多布泥炭形成植物群落","天然記念物","北海道浜中町",22/10/12
"登別原始林","天然記念物","北海道登別市",24/12/09
"鶉川ゴヨウマツ自生北限地帯","天然記念物","北海道厚沢部町",28/02/07
"オオミズナギドリ繁殖地","天然記念物","北海道松前町",28/03/24
"歌才ブナ自生北限地帯","天然記念物","北海道黒松内町",28/10/22
"四稜郭","史跡","北海道函館市",34/01/22
"東蝦夷地南部藩陣屋跡　モロラン陣屋跡　ヲシャマンベ陣屋跡　砂原陣屋跡","史跡","北海道室蘭市",34/05/01
"志苔館跡","史跡","北海道函館市",34/08/09
"福山城","史跡","北海道松前町",35/06/07
"モシリヤ砦跡","史跡","北海道釧路市",35/12/24
"鶴ヶ岱チャランケ砦跡","史跡","北海道釧路市",35/12/24
"桂ヶ岡砦跡","史跡","北海道網走市",35/12/24
"春採台地竪穴群","史跡","北海道釧路市",35/12/24
"最寄貝塚","史跡","北海道網走市",36/12/16
"春採湖ヒブナ生息地","天然記念物","北海道釧路市",37/12/21
"天売島海鳥繁殖地","天然記念物","北海道羽幌町",38/08/08
"天都山","名勝","北海道網走市",38/12/14
"アポイ岳高山植物群落","特別天然記念物","北海道様似町",39/09/07
"名寄鈴石","天然記念物","北海道名寄市",39/09/07
"名寄高師小僧","天然記念物","北海道名寄市",39/09/07
"根室車石","天然記念物","北海道根室市",39/09/07
"落石岬のサカイツツジ自生地","天然記念物","北海道根室市",40/02/10
"幌満ゴヨウマツ自生地","天然記念物","北海道様似町",43/08/24
"和琴ミンミンゼミ発生地","天然記念物","北海道弟子屈町",51/06/09
"昭和新山","特別天然記念物","北海道壮瞥町",51/06/09
"大黒島海鳥繁殖地","天然記念物","北海道厚岸町",51/06/09
"フゴッペ洞窟","史跡","北海道余市町",53/11/14
"音江環状列石","史跡","北海道深川市",56/12/28
"忍路環状列石","史跡","北海道小樽＊市",61/03/10
"松前藩戸切地陣屋跡","史跡","北海道上磯町",65/03/18
"白老仙台藩陣屋跡","史跡","北海道白老町",66/03/03
"釧路湿原","天然記念物","北海道標茶町・鶴居村・釧路町",67/07/06
"開拓使札幌本庁本庁舎跡および旧北海道庁本庁舎","史跡","北海道札幌市中央区",67/12/15
"東釧路貝塚","史跡","北海道釧路市",70/07/22
"沙流川源流原始林","天然記念物","北海道日高町",70/12/04
"大雪山","特別天然記念物","北海道上川町・東川町・美瑛町・新得町",71/04/23
"女満別湿生植物群落","天然記念物","北海道女満別町",72/06/14
"松前小島","天然記念物","北海道松前町",72/12/12
"旧下ヨイチ運上家","史跡","北海道余市町",73/07/31
"国泰寺跡","史跡","北海道厚岸町",73/10/29
"常呂遺跡","史跡","北海道常呂町",74/03/12
"善光寺跡","史跡","北海道伊達市",74/05/23
"標津遺跡群　伊茶仁カリカリウス遺跡 古道遺跡 三本木遺跡","史跡","北海道標津町",76/06/21
"西月ヶ岡遺跡","史跡","北海道根室市",76/08/28
"大館跡","史跡","北海道松前町",77/04/05
"上之国勝山館跡","史跡","北海道上ノ国町",77/04/12
"上之国花沢館跡","史跡","北海道上ノ国町",77/04/12
"北斗遺跡","史跡","北海道釧路市",77/07/14
"エゾミカサリュウ化石","天然記念物","北海道三笠市",77/07/16
"ウサクマイ遺跡群","史跡","北海道千歳市",79/05/23
"標津湿原","天然記念物","北海道標津町",79/08/07
"キウス周堤墓群","史跡","北海道千歳市",79/10/23
"オタフンベチャシ跡","史跡","北海道浦幌町",81/08/29
"松前藩主松前家墓所","史跡","北海道松前町",81/11/21
"旧余市福原漁場","史跡","北海道余市町",82/02/12
"琴似屯田兵村兵屋跡","史跡","北海道札幌市西区",82/05/07
"茂別館跡","史跡","北海道上磯町",82/07/03
"根室半島チャシ跡群","史跡","北海道根室市",83/04/26
"焼尻の自然林","天然記念物","北海道羽幌町",83/08/30
"旧島松駅逓所","史跡","北海道北広島市",84/07/25
"静川遺跡","史跡","北海道苫小牧市",87/01/08
"ユクエピラチャシ跡","史跡","北海道陸別町",87/09/08
"北黄金貝塚","史跡","北海道伊達市",87/12/25
"入江貝塚","史跡","北海道虻田町",88/05/13
"荘内藩ハママシケ陣屋跡","史跡","北海道浜益村",88/05/17
"白滝遺跡群","史跡","北海道白滝村",89/01/09
"ピリカ遺跡","史跡","北海道今金町",94/04/26
"夕張岳の高山植物群落及び蛇紋岩メランジュ帯","天然記念物","北海道夕張市・南富良野町",96/06/19
"旧留萌佐賀家漁場","史跡","北海道留萌市",97/03/11
"シベチャリ川流域チャシ跡群及びアッペツチャシ跡","史跡","北海道静内町・門別町",97/12/02
"江別古墳群","史跡","北海道江別市",98/09/11
"オンネトー湯の滝マンガン酸化物生成地","天然記念物","北海道足寄町",00/09/06
"大谷地貝塚","史跡","北海道余市町",00/11/20
"旧岩船氏庭園（香雪園）","名勝","北海道函館市",01/08/13
"大船遺跡","史跡","北海道南茅部町",01/08/13
"蕪島ウミネコ繁殖地","天然記念物","青森県八戸市",22/03/08
"小湊のハクチョウおよびその渡来地","特別天然記念物","青森県平内町",22/03/08
"法量のイチョウ","天然記念物","青森県十和田湖町",26/10/20
"種差海岸","名勝","青森県八戸市",37/12/21
"浪岡城跡","史跡","青森県浪岡町",40/02/10
"仏宇多(仏ケ浦)","名勝・天然記念物","青森県佐井村",41/04/23
"根城跡","史跡","青森県八戸市",41/12/13
"七戸城跡","史跡","青森県七戸町",41/12/13
"亀ヶ岡石器時代遺跡","史跡","青森県木造町",44/06/26
"田小屋野貝塚","史跡","青森県木造町",44/06/26
"津軽氏城跡　堀越城跡　弘前城跡","史跡","青森県弘前市",52/03/29
"盛美園","名勝","青森県尾上町",53/03/31
"是川石器時代遺跡","史跡","青森県八戸市",57/07/01
"下北半島のサルおよびサル生息北限地","天然記念物","青森県脇野沢村・佐井村",70/11/11
"縫道石山・縫道石の特殊植物群落","天然記念物","青森県佐井村",76/12/23
"瑞楽園","名勝","青森県弘前市",79/05/31
"清藤氏書院庭園","名勝","青森県尾上町",79/08/07
"長七谷地貝塚","史跡","青森県八戸市",81/05/25
"小牧野遺跡","史跡","青森県青森市",95/03/17
"三内丸山遺跡","史跡","青森県青森市",97/03/05
"二ツ森貝塚","史跡","青森県天間林村",98/01/16
"丹後平古墳群","史跡","青森県八戸市",99/01/14
"垂柳遺跡","史跡","青森県田舎館村",00/04/12
"高屋敷館遺跡","史跡","青森県浪岡町",01/01/29
"毛越寺跡附鎮守社跡","特別史跡","岩手県平泉町",22/10/12
"無量光院跡","特別史跡","岩手県平泉町",22/10/12
"胆沢城跡","史跡","岩手県水沢市",22/10/12
"盛岡石割ザクラ","天然記念物","岩手県盛岡市",23/03/07
"シダレカツラ","天然記念物","岩手県盛岡市",24/12/09
"猊鼻渓","名勝","岩手県東山町",25/10/08
"カズグリ自生地","天然記念物","岩手県東和町",27/04/08
"厳美渓","名勝・天然記念物","岩手県一関市",27/09/05
"早池峰山及び薬師岳の高山帯・植物群落","特別天然記念物","岩手県大迫町・遠野市・川井村",28/02/07
"岩手山高山植物帯","天然記念物","岩手県滝沢村",28/02/07
"勝源院の逆ガシワ","天然記念物","岩手県紫波町",29/12/17
"長泉寺の大イチョウ","天然記念物","岩手県久慈市",31/02/20
"高野長英旧宅","史跡","岩手県水沢市",33/04/13
"下船渡貝塚","史跡","岩手県大船渡市",34/01/22
"蛸ノ浦貝塚","史跡","岩手県大船渡市",34/01/22
"中沢浜貝塚","史跡","岩手県陸前高田市",34/01/22
"椿島ウミネコ繁殖地","天然記念物","岩手県陸前高田市",34/12/28
"花輪堤ハナショウブ群落","天然記念物","岩手県花巻市",35/04/11
"九戸城跡","史跡","岩手県二戸市",35/06/07
"三貫島オオミズナギドリ及びヒメクロウミツバメ繁殖地","天然記念物","岩手県釜石市",35/12/24
"日出島クロコシジロウミツバメ繁殖地","天然記念物","岩手県宮古市",35/12/24
"華蔵寺の宝珠マツ","天然記念物","岩手県陸前高田市",35/12/24
"竜谷寺のモリオカシダレ","天然記念物","岩手県盛岡市",36/09/03
"根反の大珪化木","特別天然記念物","岩手県一戸町",36/12/16
"蛇ヶ崎","天然記念物","岩手県陸前高田市",36/12/16
"盛岡城跡","史跡","岩手県盛岡市",37/04/17
"碁石海岸","名勝・天然記念物","岩手県大船渡市",37/06/15
"岩泉湧窟およびコウモリ","天然記念物","岩手県岩泉町",38/12/14
"実相寺のイチョウ","天然記念物","岩手県一戸町",38/12/14
"藤島のフジ","天然記念物","岩手県一戸町",38/12/14
"館ヶ崎角岩岩脈","天然記念物","岩手県大船渡市",39/09/07
"崎山の潮吹穴","天然記念物","岩手県宮古市",39/09/07
"崎山の蝋燭岩","天然記念物","岩手県宮古市",39/09/07
"高田松原","名勝","岩手県陸前高田市",40/11/13
"姉帯小鳥谷根反の珪化木地帯","天然記念物","岩手県一戸町",41/02/21
"夏油温泉の石灰華","特別天然記念物","岩手県北上市",41/02/28
"浪打峠の交叉層","天然記念物","岩手県一戸町",41/08/01
"葛＊根田の大岩屋","天然記念物","岩手県雫石町",43/02/19
"珊瑚島","名勝","岩手県大船渡市",43/08/27
"焼走り熔岩流","特別天然記念物","岩手県西根町",44/11/07
"樋口沢ゴトランド紀化石産地","天然記念物","岩手県大船渡市",57/05/08
"橋野高炉跡","史跡","岩手県釜石市",57/06/03
"毛越寺庭園","特別名勝","岩手県平泉町",57/11/12
"徳丹城跡","史跡","岩手県矢巾町",69/08/05
"大揚沼モリアオガエルおよびその繁殖地","天然記念物","岩手県松尾村",72/12/08
"安家洞","天然記念物","岩手県岩泉町",75/02/07
"早池峰山のアカエゾマツ自生南限地","天然記念物","岩手県川井村",75/02/18
"樺山遺跡","史跡","岩手県北上市",77/07/14
"八天遺跡","史跡","岩手県北上市",78/02/22
"中尊寺境内","特別史跡","岩手県平泉町",79/05/22
"江釣子古墳群","史跡","岩手県北上市",79/09/10
"志波城跡","史跡","岩手県盛岡市",84/09/14
"角塚古墳","史跡","岩手県胆沢町",85/03/22
"御所野遺跡","史跡","岩手県一戸町",93/12/21
"崎山貝塚","史跡","岩手県宮古市",96/07/16
"柳之御所遺跡","史跡","岩手県平泉町",97/03/05
"南部領伊達領境塚","史跡","岩手県北上市・金ヶ崎町",00/01/31
"大洞貝塚","史跡","岩手県大船渡市",01/08/13
"陸奥国分寺跡","史跡","宮城県仙台市若林区",22/10/12
